Datetime,Aberdeen,AuchencorthMoss,BarnstapleA39,BelfastCentre,BirminghamA4540Roadside,BirminghamAcocksGreen,BirminghamLadywood,BirminghamTyburn,BlackpoolMarton,Bournemouth,BristolStPaul_s,CamdenKerbside,CardiffCentre,CarlisleRoadside,ChathamRoadside,ChepstowA48,ChesterfieldLoundsleyGreen,ChesterfieldRoadside,ChilboltonObservatory,ChristchurchBarrackRoad,CoventryAllesley,DerryRosemount,Eastbourne,EdinburghStLeonards,GlasgowHighStreet,GlasgowTownhead,Grangemouth,GreenockA8Roadside,HullFreetown,Inverness,LeamingtonSpa,LeamingtonSpaRugbyRoad,LeedsCentre,LeedsHeadingleyKerbside,LeicesterUniversity,LiverpoolSpeke,LondonBexley,LondonBloomsbury,LondonEltham,LondonHarlington,LondonHarrowStanmore,LondonHonorOakPark,LondonMaryleboneRoad,LondonN_Kensington,LondonTeddingtonBushyPark,LondonWestminster,LoughNavar,ManchesterPiccadilly,Middlesbrough,Narberth,NewcastleCentre,Newport,NorthamptonSpringPark,NorwichLakenfields,NottinghamCentre,OxfordStEbbes,PlymouthCentre,PortTalbotMargam,Portsmouth,Preston,ReadingNewTown,RochesterStoke,SalfordEccles,SaltashCallingtonRoad,SandyRoadside,SheffieldBarnsleyRoad,SheffieldDevonshireGreen,SouthamptonCentre,Southend_on_Sea,Stanford_le_HopeRoadside,Stockton_on_TeesA1305Roadside,Stockton_on_TeesEaglescliffe,Stoke_on_TrentCentre,StorringtonRoadside,SunderlandSilksworth,SwanseaRoadside,Warrington,WiganCentre,WirralTranmere,WorthingA27Roadside,Wrexham,YorkBootham,YorkFishergate,BrightonPrestonPark,Average
2021-01-01 00:00:00,4.175,1.981,29,5.307,23.585,21.462,31.675,NaN,23.514,49,153,27.6,46,18,25,19,22.571,43.514,14.127,76,38.679,7,20.024,6.533,3.278,1.91,3,0.873,26.061,7.5,54.788,55.189,14.811,19,35.024,NaN,15.118,17,19.7,14.474,NaN,20.401,15.2,24.623,20.307,14,2.642,26.934,NaN,2.571,0,16.722,38,27.146,60.213,13.302,19.8,4,NaN,40.637,15,11.745,33.161,20,21,9.9,108.373,23.868,13.019,16,22,17,34.293,NaN,6.014,27,26,36.344,35.92,20,34.387,21,31,27,25.0127564102564
2021-01-01 01:00:00,5.33,1.439,28,4.788,36.816,41.415,35.047,NaN,28.066,59,196,27,43,34,37,15,22.901,21.203,15.755,90,26.085,10,21.816,2.995,42.241,1.226,7,1.509,54.717,4.835,57.807,104.01,18.231,25,57.241,NaN,39.552,20,NaN,22.453,NaN,29.316,18.6,30.448,31.085,20,3.349,31.958,NaN,3.538,3,19.293,45,34.293,66.981,17.925,28.3,16,NaN,57.194,62,12.217,50.92,8,18,72,107.076,43.868,17.17,16,7,7,29.198,NaN,7.146,144,49,50.095,73.373,32,68.892,29,26,23,34.6456233766234
2021-01-01 02:00:00,3.066,0.802,18,2.642,27.642,25.849,26.227,NaN,32.335,46,146,58.4,38,12,14,14,19.741,11.604,15.472,48,25.189,6,16.58,1.769,3.774,0.896,6,0.637,17.524,1.958,47.712,34.198,16.226,26,32.123,NaN,52.359,19,NaN,19.099,NaN,19.293,40.3,55.802,28.585,26,2.406,65.024,NaN,3.208,2,15.142,25,24.623,75.802,23.703,30,8,NaN,51.462,17,15.873,38.113,6,17,9,82.878,16.769,14.434,20,5,6,17.665,NaN,3.585,23,49,34.953,31.51,12,28.396,21,11,24,24.511038961039
2021-01-01 03:00:00,2.642,0.731,20,2.359,22.689,22.028,22.241,NaN,17.618,48,116,22.6,17,7,31,12,21.156,9.009,15.566,49,22.123,7,15.024,3.113,2.359,1.297,5,0.519,14.859,1.675,34.835,31.84,5.896,5,30.967,NaN,20.92,14,NaN,20.925,NaN,16.604,23.9,28.278,24.481,24,3.656,48.066,NaN,3.609,5,13.326,28,23.75,72.17,14.458,5.4,4,NaN,57.996,15,17.076,43.278,9,22,8,15.92,15.755,15.543,20,-1,6,23.349,NaN,3.16,26,34,26.368,16.722,14,26.533,9,8,16,19.2518051948052
2021-01-01 04:00:00,2.429,0.448,20,1.91,22.123,23.844,20.826,NaN,18.797,49,88,18.5,18,5,19,8,18.113,8.467,14.646,35,20.778,5,13.797,1.698,2.028,0.873,5,0.59,10.259,1.58,33.302,29.859,2.712,2,31.179,NaN,15.943,17,NaN,19.974,NaN,15.33,18.1,15.613,26.557,15,2.241,36.58,NaN,3.231,3,12.807,33,24.175,57.642,18.09,6.4,2,NaN,57.029,13,16.226,43.278,8,36,7,4.67,13.915,14.505,24,-5,2,25.401,NaN,4.033,10,25,25.802,9.292,12,7.052,8,5,14,16.5668051948052
2021-01-01 05:00:00,2.382,0.354,15,1.816,18.326,18.75,19.387,NaN,7.359,48,83,19.3,17,4,16,6,3.561,4.528,14.646,36,24.882,2,13.514,1.368,1.179,0.873,2,0.519,8.538,1.321,30.519,24.67,2.288,0,28.797,NaN,17.076,20,NaN,17.363,NaN,17.807,21.7,19.764,20.66,21,2.052,35.566,NaN,2.382,3,12.689,29,25.212,35.142,15.708,10.7,2,NaN,46.062,15,14.245,43.656,11,24,4,3.609,12.5,13.42,15,-4,1,26.675,NaN,4.009,10,17,24.057,7.877,15,5.825,6,2,15,14.8004285714286
2021-01-01 06:00:00,2.807,0.425,10,1.698,21.109,19.693,22.712,NaN,2.783,36,87,15.6,17,3,12,4,2.264,2.712,14.552,33,23.208,1,13.491,0.92,0.613,0.684,2,0.542,5,2.123,27.5,23.538,2.264,1,28.09,NaN,19.127,21,NaN,12.434,NaN,19.906,22.2,17.618,16.58,22,2.123,36.84,NaN,2.193,3,11.297,34,24.811,29.576,14.906,2,-1,NaN,30.543,11,13.326,43.066,9,22,5,2.783,14.528,14.764,24,-3,5,30.519,NaN,3.09,9,21,22.123,5.236,11,4.811,5,0,13,13.8665974025974
2021-01-01 07:00:00,1.321,0.566,14,1.604,22.311,22.076,22.099,NaN,2.335,34,82,14.4,11,3,15,4,1.958,2.642,15.613,27,19.458,0,15.472,0.802,1.274,1.25,3,0.495,3.774,3.538,27.359,24.198,3.325,4,23.632,NaN,22.005,17,NaN,13.316,NaN,21.203,15,15.189,16.722,18,2.028,38.962,NaN,2.524,2,10.071,35,24.646,10.354,15.259,3.1,-1,NaN,13.396,21,17.359,37.335,9,29,3,2.453,14.127,16.58,19,-4,4,28.42,NaN,2.524,7,17,19.693,2.877,9,3.373,3,1,13,12.9742597402597
2021-01-01 08:00:00,1.462,0.495,12,1.698,20.519,20.071,19.788,NaN,3.349,31,83,14.1,9,1,20,6,2.618,3.514,17.476,27,21.085,5,15.33,1.038,1.863,0.92,4,0.542,2.642,2.288,26.439,23.326,2.665,3,20.92,NaN,21.627,17,NaN,13.335,NaN,19.363,18.1,15.024,17.335,15,1.745,40.425,NaN,2.877,-1,9.646,32,24.08,6.675,15.094,7.9,1,NaN,15.755,25,21.51,27.83,7,31,4,3.113,14.245,17.288,21,-4,3,25.967,NaN,1.769,8,17,17.689,2.594,14,3.066,1,2,11,12.8987012987013
2021-01-01 09:00:00,2.311,0.354,11,2.005,21.014,20.354,19.387,NaN,5.024,32,63,17.8,8,1,21,10,2.476,3.609,17.382,36,19.34,5,16.415,1.014,1.415,0.825,2,0.519,4.269,2.146,24.741,21.557,1.769,0,16.627,NaN,20.59,17,NaN,16.811,NaN,17.665,18.3,15.896,18.726,14,2.075,30.495,NaN,3.231,6,12.359,28,25.731,5.708,17.406,6.2,3,NaN,10.778,19,22.995,23.373,7,34,4,2.83,16.462,19.127,23,-4,3,25.307,NaN,1.722,10,11,8.632,2.736,14,2.712,5,4,13,12.6002597402597
