Datetime,BallymenaBallykeel,BarnsleyGawber,BelfastCentre,CardiffCentre,ChilboltonObservatory,DerryRosemount,EdinburghStLeonards,Grangemouth,HullFreetown,Ladybower,LeedsCentre,LiverpoolSpeke,LondonBloomsbury,LondonMaryleboneRoad,LondonN_Kensington,LullingtonHeath,ManchesterPiccadilly,Middlesbrough,Narberth,NottinghamCentre,PortTalbotMargam,RochesterStoke,ScunthorpeTown,SouthamptonCentre,Thurrock,WickenFen,Wrexham,BirminghamLadywood,Average
2020-01-01 01:00:00,NaN,1.12028,1.24502,NaN,0.15114,5.19728,NaN,4.45235,1.0802,NaN,1.76441,1.81413,1.21118,4.75423,NaN,0.28057,0.42717,1.44535,0.61815,NaN,0.44178,0.74967,0.53242,3.08047,1.14173,0.27447,NaN,0.71694,1.54756857142857
2020-01-01 02:00:00,NaN,2.4991,1.17178,NaN,0.34006,5.21824,NaN,3.93862,1.28274,NaN,1.49975,1.14576,1.73025,4.84394,NaN,1.21578,0.59804,1.62602,0.52984,NaN,0.70684,0.93709,0.45636,2.11783,0.96608,0.09149,NaN,0.3983,1.58637666666667
2020-01-01 03:00:00,NaN,2.77917,1.59289,NaN,0.17003,3.96083,NaN,2.6971,1.06333,NaN,1.38947,1.71865,1.23281,3.09474,NaN,1.05212,1.02521,0.74526,0.26492,NaN,0.92773,1.47592,0.39931,1.73277,0.98803,0.27447,NaN,0.29872,1.37540380952381
2020-01-01 04:00:00,NaN,2.52064,1.42811,NaN,0.17003,1.82324,NaN,2.50445,0.55698,NaN,1.19098,1.71865,1.23281,2.96019,NaN,0.56113,0.57668,0.4065,0.6623,NaN,0.66267,2.17874,0.57045,1.44397,1.11977,0.54894,NaN,0.35847,1.19979523809524
2020-01-01 05:00:00,NaN,2.19748,1.15347,NaN,0.28339,1.00593,NaN,2.50445,0.45571,NaN,1.32331,1.43221,1.23281,3.83478,NaN,0.63127,0.51261,0.542,0.92722,NaN,0.3976,2.81128,0.68454,1.01078,0.85629,0.13724,NaN,0.5377,1.16533666666667
2020-01-01 06:00:00,NaN,1.68043,0.65913,NaN,0.28339,0.75445,NaN,2.50445,0.60761,NaN,1.25715,1.43221,0.8435,3.70023,NaN,0.63127,0.32038,0.542,1.05968,NaN,0.46387,3.5141,0.79863,0.86638,0.65869,-0.13724,NaN,0.5377,1.09419095238095
2020-01-01 07:00:00,NaN,1.03411,0.27464,NaN,0.11335,0.50296,NaN,2.95396,0.96206,NaN,1.05865,1.50382,1.23281,3.76751,NaN,0.63127,0.19223,0.4065,0.86099,NaN,0.1988,3.93579,0.91272,0.86638,0.98803,0.61756,NaN,0.89617,1.13858619047619
2020-01-01 08:00:00,NaN,1.09874,0.49435,NaN,0.05668,0.44009,NaN,3.72456,0.70888,NaN,0.99248,1.43221,1.23281,5.04577,NaN,0.49099,0.51261,0.74526,0.79476,NaN,0.46387,3.58438,0.96976,0.86638,1.31738,1.02926,NaN,0.59745,1.26660333333333
2020-01-01 09:00:00,NaN,0.38779,0.38449,NaN,0.11335,0.25148,NaN,3.59613,1.67094,NaN,1.12481,1.28899,2.66026,3.96934,NaN,0.49099,0.19223,1.08401,1.05968,NaN,0.1988,2.741,1.08385,0.86638,1.58085,0.96064,NaN,0.35847,1.24116571428571
2020-01-01 10:00:00,NaN,1.16337,0.43942,NaN,0.17003,0.44009,NaN,3.53191,1.36713,NaN,0.72782,1.50382,3.17934,3.96934,NaN,0.28057,0.51261,1.15176,0.92722,NaN,0.13253,2.24902,1.93953,0.36099,1.44911,0.75479,NaN,0.35847,1.26708904761905
2020-01-01 11:00:00,NaN,2.39138,0.43942,NaN,0.22671,0.50296,NaN,3.27504,1.01269,NaN,1.32331,2.43475,3.37399,3.96934,NaN,0.14028,0.32038,0.94851,1.12591,NaN,0.1988,2.10846,3.02338,0.57759,1.51498,0.41171,NaN,0.35847,1.41324095238095
2020-01-01 12:00:00,NaN,1.93896,0.43942,NaN,0.17003,0.94306,NaN,3.78878,1.01269,NaN,1.38947,2.21992,2.85492,5.44943,NaN,0.35071,0.64076,0.74526,0.86099,NaN,0.1988,1.33536,1.6543,0.64979,1.58085,0.68617,NaN,0.41821,1.39656571428571
2020-01-01 13:00:00,NaN,1.29264,0.6042,NaN,0.22671,1.32028,NaN,3.85299,1.21523,NaN,1.19098,2.50636,1.29769,5.98765,NaN,0.42085,0.2563,0.74526,0.92722,NaN,0.13253,1.12451,1.36908,0.79419,1.18564,0.54894,NaN,0.65719,1.31697333333333
2020-01-01 14:00:00,NaN,0.64632,0.27464,NaN,0.34006,1.88611,NaN,3.0824,0.60761,NaN,0.92632,2.43475,1.23281,6.79497,NaN,0.70141,0.51261,0.60976,0.86099,NaN,0.13253,1.05423,2.62406,0.93858,0.52695,0.61756,NaN,0.47796,1.29917285714286
2020-01-01 15:00:00,NaN,1.22801,0.43942,NaN,0.39674,2.3262,NaN,3.91721,0.96206,NaN,1.45564,2.72119,1.16792,6.52586,NaN,0.70141,0.70483,0.542,0.79476,NaN,0.33133,0.7731,3.25155,0.86638,0.52695,0.96064,NaN,0.41821,1.47673380952381
2020-01-01 16:00:00,NaN,1.29264,0.27464,NaN,0.34006,2.95491,NaN,5.20154,1.26586,NaN,0.79399,1.50382,1.29769,5.58398,NaN,0.8417,0.38446,1.08401,0.52984,NaN,0.46387,0.70282,4.3354,0.2888,0.65869,0.82341,NaN,0.41821,1.47811142857143
2020-01-01 17:00:00,NaN,0.06463,0.27464,NaN,0.05668,2.89204,NaN,4.68781,1.26586,NaN,0.92632,1.14576,1.10304,7.53501,NaN,0.63127,0.38446,0.88076,0.33115,NaN,0.33133,0.98395,4.50654,0.43319,0.39521,0.96064,NaN,0.59745,1.44703523809524
2020-01-01 18:00:00,NaN,1.4219,0.05493,NaN,0.22671,2.51481,NaN,4.68781,2.22792,NaN,0.92632,1.28899,0.77861,6.18948,NaN,0.35071,0.32038,1.15176,0.72853,NaN,0.33133,0.84338,2.45293,0.36099,0.46108,0.48032,NaN,0.29872,1.33798142857143
2020-01-01 19:00:00,NaN,2.71454,0.6042,NaN,0.28339,2.38907,NaN,4.36673,1.77221,NaN,0.86015,1.71865,0.8435,5.58398,NaN,0.14028,0.38446,1.49051,0.86099,NaN,0.3976,0.7731,2.96633,0.72199,0.26347,0.34309,NaN,0.23898,1.41510571428571
2020-01-01 20:00:00,NaN,4.39496,0.54927,NaN,0.22671,3.33213,NaN,1.41277,2.17728,NaN,0.99248,2.00509,0.64884,5.18032,NaN,0.28057,0.38446,1.35501,1.12591,NaN,0.53013,0.84338,2.50997,0.57759,0.19761,0.96064,NaN,0.29872,1.42780190476191
2020-01-01 21:00:00,NaN,4.13644,0.27464,NaN,0.28339,3.01778,NaN,2.56866,2.68363,NaN,1.12481,2.0767,0.58396,3.29657,NaN,0.21042,0.44853,1.49051,1.19214,NaN,0.3976,0.98395,2.1677,0.36099,0.19761,NaN,NaN,0.47796,1.3986995
2020-01-01 22:00:00,NaN,3.42549,0.10986,NaN,0.22671,3.26926,NaN,3.33926,1.92411,NaN,2.18346,3.58051,0.58396,4.50755,NaN,0.56113,0.89706,1.76152,0.92722,NaN,0.33133,1.05423,2.1677,0.36099,0.19761,0.45745,NaN,0.29872,1.53167285714286
2020-01-01 23:00:00,NaN,2.52064,0.38449,NaN,0.05668,2.13759,NaN,4.10986,1.6203,NaN,2.51429,3.29407,0.45419,6.18948,NaN,0.70141,1.15336,1.62602,0.72853,NaN,0.5964,0.91367,1.93953,1.51617,0.06587,0.89203,NaN,0.41821,1.61108523809524
2020-01-02 00:00:00,NaN,3.74865,0.32956,NaN,0.34006,2.51481,NaN,3.53191,1.3165,NaN,2.44812,2.93602,0.32442,4.84394,NaN,0.63127,0.64076,1.49051,0.72853,NaN,4.57239,0.98395,0.96976,1.73277,0.32935,0.61756,NaN,0.17924,1.67667047619048
2020-01-02 01:00:00,NaN,3.44943,0.80509,NaN,0.22671,1.84302,NaN,3.08096,0.33687,NaN,2.20551,0.66955,0.6053,4.39631,NaN,0.56164,0.59744,1.62573,0.35338,NaN,4.68076,2.33883,0.60854,1.54129,0.35138,1.0975,NaN,0.07942,1.49784095238095
2020-01-02 02:00:00,NaN,2.32836,NaN,NaN,0.34006,0.75396,NaN,2.9098,0.85901,NaN,0.88221,1.07606,1.29707,1.70469,NaN,0.65525,0.25605,1.69347,0.61841,NaN,1.41306,2.15173,0.9128,2.69725,0,1.18897,NaN,0.63533,1.218677
2020-01-02 03:00:00,NaN,1.55224,0.7136,NaN,0.22671,0.8168,NaN,2.8884,0.60636,NaN,1.05864,1.57821,0.77824,1.21123,NaN,0.42123,0.89616,1.49025,0.33129,NaN,0.99356,1.96462,0.96985,1.44496,0.19765,1.23469,NaN,0.59562,1.04620523809524
2020-01-02 04:00:00,NaN,1.48757,0.54893,NaN,0.45342,0.69113,NaN,3.27352,0.65689,NaN,0.86015,3.80206,0.19456,1.54768,NaN,0.56164,0.5761,1.35478,0.19878,NaN,0.66237,2.66627,1.141,0.79473,0.32942,1.44048,NaN,0.53606,1.13226380952381
2020-01-02 05:00:00,NaN,1.22886,0.21957,NaN,0.62345,0.37698,NaN,3.65864,0.60636,NaN,0.59549,2.72601,0.90795,1.95142,NaN,0.56164,0.44808,1.35478,0.26503,NaN,0.59614,2.38561,1.0269,0.86697,0.39531,1.0975,NaN,0.71475,1.07654476190476
