Datetime,BallymenaBallykeel,BarnsleyGawber,BelfastCentre,CardiffCentre,ChilboltonObservatory,DerryRosemount,EdinburghStLeonards,Grangemouth,HullFreetown,Ladybower,LeedsCentre,LiverpoolSpeke,LondonBloomsbury,LondonMaryleboneRoad,LondonN_Kensington,LullingtonHeath,ManchesterPiccadilly,Middlesbrough,Narberth,NottinghamCentre,PortTalbotMargam,RochesterStoke,ScunthorpeTown,SouthamptonCentre,Thurrock,WickenFen,Wrexham,BirminghamLadywood,Average
2021-01-01 00:00:00,0.45594,2.05205,1.3037,0.9639,0.5462,4.36903,0.63997,0.81163,1.2052,1.00999,0.78992,NaN,0.32916,0.88129,2.42616,0.87224,0.7066,2.23471,0.2986,5.36658,0.99283,0.89077,5.01624,0.30863,0.32676,0.95853,0.65517,0.60139,1.37085888888889
2021-01-01 01:00:00,7.00349,6.3223,3.35273,3.38999,4.25744,4.08005,10.38106,2.63873,5.88059,10.57708,0.8781,NaN,1.58058,0.53218,7.12234,3.10616,1.80675,4.00022,5.03176,5.30761,2.7221,5.36437,8.42973,1.73225,1.43334,9.04795,3.37047,3.34076,4.54407888888889
2021-01-01 02:00:00,7.45052,6.3223,2.87377,3.21614,4.34614,2.7496,NaN,2.8649,5.88059,10.47729,0.96591,NaN,1.58058,0.85149,6.92721,3.15184,1.87128,3.92749,5.27923,6.08814,2.7221,5.36437,6.89705,1.73225,0.89584,9.58545,2.39481,2.96956,4.20714807692308
2021-01-01 03:00:00,7.26426,5.91252,2.93364,2.93364,4.05787,8.11575,NaN,2.77066,5.65574,10.4274,0.79029,NaN,1.25129,0.63862,7.02478,3.28887,1.74222,3.54565,5.4442,6.3223,2.70015,5.36437,5.93913,1.79411,0.73907,10.21253,2.12872,3.03143,4.30881576923077
2021-01-01 04:00:00,6.81723,5.61982,2.03559,3.12922,4.05787,5.9205,NaN,2.4314,5.91518,10.52719,1.05372,NaN,2.70015,0.79827,6.43938,3.28887,1.48412,2.89107,5.50607,6.67354,2.56843,5.30051,4.85348,2.41277,1.00782,9.20472,2.0622,2.84583,4.13634423076923
2021-01-01 05:00:00,7.04074,5.26858,2.15533,2.86845,4.25744,4.05787,NaN,2.31831,5.96707,10.52719,0.79029,NaN,4.41244,0.79827,4.68318,3.0148,1.48412,2.67287,5.38234,6.08814,2.43672,5.17279,4.27873,2.41277,0.67188,9.47347,2.0622,2.7221,3.96223423076923
2021-01-01 06:00:00,6.76135,4.97588,2.15533,3.12922,4.05787,2.86047,NaN,2.60103,5.75952,10.77665,0.72443,NaN,3.49044,1.03775,6.00033,3.15184,1.6777,2.50923,5.4442,5.32712,2.30501,4.91734,3.70397,2.22717,0.87344,9.47347,2.0622,2.78397,3.87642038461538
2021-01-01 07:00:00,7.09662,4.50756,2.03559,2.86845,3.99135,1.59654,NaN,2.48794,5.55197,10.77665,0.98786,NaN,3.75387,0.8781,6.0735,3.08332,2.06486,2.78197,5.2586,4.80026,2.43672,4.98121,3.57625,1.91784,0.80625,9.60784,2.32829,2.78397,3.80897615384615
2021-01-01 08:00:00,7.04074,4.50756,2.15533,2.86845,4.05787,1.79611,NaN,1.9225,5.75952,10.72675,0.79029,NaN,4.28072,0.8781,4.53684,2.39814,1.80675,2.72742,5.13487,4.62464,2.50258,4.98121,3.38467,2.10344,0.94063,9.60784,2.26177,2.78397,3.71456576923077
2021-01-01 09:00:00,7.37602,4.80026,1.79611,2.93364,3.92483,1.72959,NaN,1.9225,5.86329,10.37751,0.59272,NaN,3.75387,0.79827,5.56128,2.94628,1.74222,2.23649,5.32047,4.44903,2.70015,4.98121,3.06536,1.67038,0.60469,9.8766,2.46133,2.84583,3.70499730769231
