Datetime,BallymenaBallykeel,BarnsleyGawber,BelfastCentre,CardiffCentre,ChilboltonObservatory,DerryRosemount,EdinburghStLeonards,Grangemouth,HullFreetown,Ladybower,LeedsCentre,LiverpoolSpeke,LondonBloomsbury,LondonMaryleboneRoad,LondonN_Kensington,LullingtonHeath,ManchesterPiccadilly,Middlesbrough,Narberth,NottinghamCentre,PortTalbotMargam,RochesterStoke,ScunthorpeTown,SouthamptonCentre,Thurrock,WickenFen,Wrexham,BirminghamLadywood,Average
2018-01-01 00:00:00,NaN,1.02832,1.63045,0.89848,0.27211,1.15232,1.56291,0.37832,NaN,1.77399,2.12587,0.56412,NaN,4.92786,2.17926,0.19356,3.95046,1.26142,0.68851,1.23732,0.97568,1.06166,1.675,0.69819,0.41578,0.59129,NaN,NaN,1.35838608695652
2018-01-01 01:00:00,NaN,0.85706,1.65087,0.53811,0.63378,2.8025,2.98922,0.50395,NaN,4.00423,1.51142,3.95349,NaN,4.92942,NaN,0.77417,3.77322,4.33637,2.74766,2.43578,0.95373,1.59175,1.98658,1.83199,0.31671,0.38678,NaN,NaN,2.06858136363636
2018-01-01 02:00:00,NaN,0.77136,1.73776,0.35874,NaN,2.62169,3.44213,0.28797,NaN,3.73122,1.32249,3.20044,NaN,6.75514,2.40953,1.09673,4.12421,4.51336,2.93083,2.51435,0.78032,1.23803,1.48993,1.22133,0.29692,0.46414,NaN,NaN,2.15039181818182
2018-01-01 03:00:00,NaN,1.02847,1.43365,0.13453,1.01857,2.30528,3.39684,0.26997,NaN,3.27619,1.13356,3.38871,NaN,6.43564,2.49812,0.70965,3.2906,3.51777,3.09111,2.18042,0.58524,1.26014,1.24161,1.70114,0.07918,0.40612,NaN,NaN,1.92967434782609
2018-01-01 04:00:00,NaN,0.89991,0.84716,0.13453,1.15438,2.03407,3.26097,0.43196,NaN,2.59365,1.3461,3.38871,NaN,5.5456,2.12606,0.96771,3.75128,4.38061,3.09111,2.71079,2.21092,1.7244,1.42786,1.374,0,0.52216,NaN,NaN,1.99669304347826
2018-01-01 05:00:00,NaN,1.02847,1.17299,0.13453,1.15438,1.76286,3.80446,0.26997,NaN,2.25238,1.20441,3.10631,NaN,5.06635,2.39181,0.64514,3.22479,4.1815,3.36588,2.59293,7.28302,1.85704,1.11745,1.374,0,0.58017,NaN,NaN,2.15525391304348
2018-01-01 06:00:00,NaN,0.77136,1.10782,0.20179,1.29019,2.10187,3.39684,0.26997,NaN,3.13968,1.3461,2.96512,NaN,3.90246,2.28551,0.83868,3.15897,3.98238,3.43457,2.35721,20.35343,1.32646,0.99329,1.57028,0.05938,0.75422,NaN,NaN,2.67859043478261
2018-01-01 07:00:00,NaN,0.57852,0.91232,0,1.35809,1.96627,3.60065,0.21598,NaN,3.07143,1.41695,3.38871,NaN,4.65557,2.23236,1.03222,3.81709,4.04875,3.84672,3.24116,36.22,2.05601,0.99329,1.83199,0.23753,0.87026,NaN,NaN,3.54747260869565
2018-01-01 08:00:00,NaN,0.96419,1.10782,0.06726,1.4939,1.96627,3.46477,0.32397,NaN,3.48096,0.99187,4.51828,NaN,5.13482,2.23236,1.35479,3.35641,3.98238,3.77803,3.1233,21.19878,1.59175,0.86913,2.15913,0.23753,0.87026,NaN,NaN,2.96817217391304
2018-01-01 09:00:00,NaN,0.51424,0.91232,0,1.56181,1.89847,3.3289,0.37796,NaN,3.27619,1.27526,3.4593,NaN,5.81946,2.12606,1.35479,3.55384,3.58414,3.57195,3.53581,17.8824,1.39278,0.80705,2.74799,0.29692,0.75422,NaN,NaN,2.78399391304348
2018-01-01 10:00:00,NaN,0.83563,1.04266,0.13453,1.62971,1.89847,3.26097,0.21598,NaN,3.48096,1.77119,4.51828,NaN,7.12028,2.33866,1.54833,3.2906,3.71688,3.02242,3.18223,4.29178,1.85704,0.74497,2.81342,0.47507,1.3344,NaN,NaN,2.37062869565217
2018-01-01 11:00:00,NaN,0.6428,0.91232,0.13453,1.426,1.49165,3.26097,0.43196,NaN,3.27619,1.62949,3.31811,NaN,7.39414,2.71072,1.4193,3.55384,3.58414,3.50326,2.23934,2.66611,2.38763,0.86913,2.28999,0.53445,1.27638,NaN,NaN,2.21532391304348
2018-01-01 12:00:00,NaN,0.83563,0.84716,0.20179,1.56181,1.55946,2.98922,1.61983,NaN,2.79841,1.3461,2.89452,NaN,7.87339,2.92333,1.61284,3.55384,3.31865,3.09111,2.12148,2.01583,1.98969,1.11745,2.55171,0.3563,1.04431,NaN,NaN,2.18364608695652
2018-01-01 13:00:00,NaN,0.77136,1.10782,0.26905,1.35809,1.28824,1.99281,1.29587,NaN,3.34445,1.84204,3.4593,NaN,8.48956,2.60442,1.74187,3.55384,3.45139,3.02242,2.76972,1.82076,2.12233,1.05537,2.02828,0.47507,0.92828,NaN,NaN,2.20836260869565
2018-01-01 14:00:00,NaN,0.96419,0.71683,0.47084,1.4939,1.35605,3.19303,0.70193,NaN,3.13968,1.4878,3.5299,NaN,6.57257,2.76387,1.35479,2.89572,3.65051,2.95373,2.47506,1.56065,1.98969,1.11745,1.83199,0.41568,1.10233,NaN,NaN,2.07557347826087
2018-01-01 15:00:00,NaN,1.34987,0.26066,0.80716,1.29019,1.42385,3.46477,0.48595,NaN,2.66191,2.05458,3.17691,NaN,5.34021,2.28551,1.61284,3.35641,3.78326,2.67897,2.00363,1.30054,1.92337,1.48993,1.74476,0.17815,0.46414,NaN,NaN,1.96250304347826
2018-01-01 16:00:00,NaN,0.96419,0.97749,0.33632,1.15438,1.08484,3.12509,0.48595,NaN,2.93492,1.41695,3.17691,NaN,4.5871,2.33866,1.54833,3.42222,3.65051,2.54158,2.35721,0.91038,1.79072,1.24161,1.63571,0.77198,0.52216,NaN,NaN,1.86848739130435
2018-01-01 17:00:00,NaN,0.83563,0.97749,0.53811,1.22228,0.81363,3.60065,0.53995,NaN,3.48096,1.41695,2.82392,NaN,5.13482,1.9666,1.16125,3.42222,3.65051,1.85467,0.94288,0.78032,1.65807,0.93121,1.89742,0.59383,0.40612,NaN,NaN,1.76736913043478
2018-01-01 18:00:00,NaN,0.57852,0.58649,1.21074,1.08648,0.81363,2.71747,0.26997,NaN,2.73016,1.13356,2.25914,NaN,7.59953,1.70085,1.22576,3.61965,3.1859,2.19812,1.59111,0.65027,1.19381,0.74497,1.3958,0.29692,0.11603,NaN,NaN,1.69151652173913
